CountryName,CountryCode,IndicatorName,Region,Year,CO2_kt,CO2_percapita,CO2_ktdollar,CO2_kt_log
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1960,88202.351,8.582936643,0.442914262,4.945480161
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1961,90589.568,8.641569017,0.443868296,4.957078189
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1962,94912.961,8.835688047,0.459101582,4.977325522
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1963,101029.517,9.226439909,0.460094669,5.004448277
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1964,108979.573,9.759073431,0.463924633,5.037345102
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1965,120966.996,10.62232139,0.48588215,5.082666896
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1966,120332.605,10.32809244,0.472086752,5.080383319
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1967,129265.417,10.9556248,0.477064255,5.111482352
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1968,134622.904,11.21016771,0.472746218,5.129118955
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1969,142257.598,11.60055435,0.466681853,5.153075471
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1970,147618.752,11.80289054,0.451861022,5.169141529
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1971,152774.554,11.80911757,0.449640741,5.184051025
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1972,157486.649,11.95163155,0.446057124,5.197243742
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1973,170992.21,12.77968685,0.471973504,5.232976325
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1974,172356.334,12.55966873,0.456986936,5.236427248
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1975,175883.988,12.65989981,0.460128829,5.245226304
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1976,174244.839,12.41679178,0.444342431,5.241159923
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1977,187787.07,13.23189614,0.462247507,5.273665686
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1978,202015.03,14.06985862,0.492850087,5.305383682
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1979,205069.641,14.12909198,0.480858867,5.311901371
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1980,220746.066,15.02491601,0.502374554,5.343892973
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1981,230360.94,15.43250084,0.507322852,5.362408842
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1982,234119.615,15.42493181,0.498991909,5.369437801
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1983,225003.453,14.64008413,0.490452487,5.352189183
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1984,236594.84,15.2209753,0.49312725,5.374005269
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1985,241229.928,15.3084102,0.477711375,5.382431187
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1986,239964.813,14.98057315,0.456764067,5.380147564
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1987,256106.947,15.7469578,0.475362704,5.408421359
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1988,261145.405,15.79616778,0.458387683,5.416882389
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1989,277771.583,16.51986292,0.469445456,5.443687814
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1990,263600,15.44673046,0.430134789,5.420945406
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1991,264710,15.31532053,0.433671276,5.422770348
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1992,268360,15.33923978,0.437846293,5.428717783
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1993,272360,15.4163129,0.427158459,5.435143326
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1994,278670,15.60739289,0.420310116,5.445090218
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1995,289010,15.99214254,0.419794944,5.46091287
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1996,299590,16.36120365,0.418914719,5.476527313
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1997,306770,16.56693849,0.412588969,5.486812886
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1998,327660,17.51162418,0.421398773,5.515423427
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,1999,333040,17.59695657,0.407636091,5.522496398
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2000,338810,17.68965697,0.399005071,5.52995622
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2001,344960,17.76953588,0.398552242,5.537768739
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2002,352890,17.95749921,0.392027621,5.547639352
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2003,351990,17.69202931,0.379690496,5.546530325
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2004,365270,18.14789789,0.378659246,5.562614005
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2005,369510,18.11785357,0.371161646,5.567626196
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2006,375060,18.12067891,0.366494626,5.574100749
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2007,385370,18.50285198,0.362628883,5.585877903
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2008,388500,18.28304124,0.352673544,5.589391023
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2009,394950,18.20742496,0.351716024,5.596542118
Australia,AUS,CO2 emissions (kt),East Asia & Pacific,2010,387350,17.58144496,0.337960911,5.58810356
